Indicadores de las asignaturas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asignaturas vinculadas;;cambio de semestre, no viene en listado origen, aprobado Fase previa POD;;;
Fecha de generación: Thu Apr 15 16:18:46 CEST 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aaaaaa;asignaturas nuevas 21-22;;;;;
Año;Cod Centro;Centro;Cod Asignatura;Asignatura;NumAreas;Cod Area;Area;Cod Departamento;Departamento;Tipo Plan;Cod Plan;Plan;Nivel Experimentalidad;Tipo de asignatura;Clase;Ciclo;Curso;Periodo;CredTeoAsig;CredTotalAsig;Vínculo;Destino vínculo;Grupos;AlumPrev;Matriculados;MaxAnteriorActual;CredTeoArea;EncTeoArea;CredArea;Horas estud tipo1;Horas prof tipo1;Horas estud tipo2;Horas prof tipo2;Horas estud tipo3;Horas prof tipo3;Horas estud tipo4;Horas prof tipo4;Horas estud tipo5;Horas prof tipo5;Horas estud tipo6;Horas prof tipo6;Horas estud tipo7;Horas prof tipo7;Horas estud tipo8;Horas prof tipo8;Horas estud tipo9;Horas prof tipo9;Horas estud tipo10;Horas prof tipo10;Eprop;Easig;Econt;Eref;AlsProf;Contabiliza necesidades;EncargoCursoAnterior;EncAsignadoCursoAnt;AlumCursoMenos1;AlumCursoMenos2;AlumCursoMenos3;AlumCursoMenos4;AlumCursoMenos5;MotivoMantenerOptativa;MotivoCambioAlumPrev;MotivoCambioGrupos;ImpartidaCursoAnterior;EstadoFase0;EstadoFase1;EstadoFase2;Eprop-Econt;Numero subgrupos T2 ofertados 2021-2022;Numero subgrupos T3 ofertados 2021-2022;Numero subgrupos T2 ofertados 2020-2021;Numero subgrupos T3 ofertados 2020-2021;Diferencia T2 ;Diferencia T3 ;CAMBIOS;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25867;Matemáticas I;1;595;Matemática Aplicada;2005;Matemática Aplicada;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;2;NOR;B;X;1;S1;0,00;6,00;-;0;2;98;0;98;0,000;0,00;6,000;42,000;84,000;0,000;0,000;12,000;48,000;0,000;0,000;0,000;0,000;20,000;44,000;73,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;176,00;0,00;176,40;176,40;13,36;S;177,00;177,00;91;98;100;99;90;-;;;S;;GUARDADO;PENDIENTE;-0,40;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25868;Expresión Gráfica I;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;1;S2;0,00;6,00;-;0;2;86;0;86;0,000;0,00;6,000;30,000;60,000;15,000;60,000;15,000;75,000;0,000;0,000;0,000;0,000;40,000;11,000;45,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;206,00;0,00;206,40;206,40;10,02;S;215,00;215,00;82;86;90;105;91;-;;;S;;GUARDADO;PENDIENTE;-0,40;4;5;4;5;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25869;Física II;1;385;Física Aplicada;2002;Física Aplicada;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;1;S2;0,00;6,00;-;0;2;99;0;109;0,000;0,00;6,000;43,000;86,000;0,000;0,000;10,000;60,000;0,000;0,000;0,000;0,000;8,000;24,000;84,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;170,00;0,00;237,60;170,00;13,98;S;170,00;170,00;103;109;95;105;89;-;;;S;;GUARDADO;PENDIENTE;-67,60;0;6;0;6;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25870;Matemáticas II;1;595;Matemática Aplicada;2005;Matemática Aplicada;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;2;NOR;B;X;1;S2;0,00;6,00;-;0;2;99;0;111;0,000;0,00;6,000;42,000;84,000;0,000;0,000;12,000;60,000;0,000;0,000;0,000;0,000;20,000;34,000;73,000;0,000;3,000;0,000;0,000;0,000;0,000;0,000;178,00;0,00;178,20;178,20;13,35;S;179,00;179,00;94;111;102;108;98;-;;;S;;GUARDADO;PENDIENTE;-0,20;0;5;0;5;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25871;Taller de Diseño I: Fundamentos y Comunicación de Producto;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;1;S2;0,00;6,00;-;0;2;86;0;86;0,000;0,00;6,000;30,000;60,000;0,000;0,000;30,000;150,000;0,000;0,000;0,000;0,000;70,000;0,000;15,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;210,00;0,00;206,40;206,40;9,83;S;220,00;220,00;84;86;93;86;88;-;;;S;;GUARDADO;PENDIENTE;3,60;0;5;0;5;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25872;Diseño Asistido por Ordenador I;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S1;0,00;6,00;-;0;1;90;0;117;0,000;0,00;6,000;15,000;15,000;0,000;0,000;45,000;180,000;0,000;0,000;0,000;0,000;85,000;16,000;0,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;211,00;0,00;216,00;211,00;10,24;S;211,00;211,00;111;117;104;90;80;-;;;S;;GUARDADO;PENDIENTE;-5,00;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25873;Diseño de mecanismos;1;545;Ingeniería Mecánica;5004;Ingeniería Mecánica;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S1;0,00;6,00;-;0;1;90;0;97;0,000;0,00;6,000;45,000;45,000;0,000;0,000;13,000;104,000;2,000;16,000;0,000;0,000;15,000;54,000;70,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;219,00;0,00;216,00;216,00;9,86;S;217,80;217,80;103;97;91;69;77;-;;;S;;GUARDADO;PENDIENTE;3,00;0;8;0;8;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25874;Expresión Artística II;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;B;X;2;S1;0,00;6,00;-;0;1;80;0;80;0,000;0,00;6,000;15,000;15,000;0,000;0,000;45,000;180,000;0,000;0,000;0,000;0,000;60,000;0,000;20,000;0,000;10,000;0,000;0,000;0,000;0,000;0,000;195,00;0,00;192,00;192,00;9,85;S;195,00;195,00;73;80;80;82;79;-;;;S;;GUARDADO;PENDIENTE;3,00;0;4;0;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25875;Taller de Diseño II: Métodos y Proceso de Diseño;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S1;0,00;6,00;-;0;1;76;0;76;0,000;0,00;6,000;15,000;15,000;15,000;30,000;30,000;120,000;0,000;0,000;0,000;0,000;65,000;22,000;20,000;0,000;5,000;0,000;0,000;0,000;0,000;0,000;187,00;0,00;182,40;182,40;9,75;S;187,00;187,00;79;75;79;88;80;-;;;S;;GUARDADO;PENDIENTE;4,60;2;4;2;4;0;0;;;;;;;
2021;110;Escuela de Ingeniería y Arquitectura;25876;Diseño Gráfico Aplicado a Producto;1;305;Expresión Gráfica de la Ingeniería;5002;Ingeniería de Diseño y Fabricación;GRA ECTS;558;Graduado en Ingeniería en Diseño Industrial y Desarrollo de Producto;3;NOR;O;X;2;S2;0,00;6,00;-;0;1;81;0;81;0,000;0,00;6,000;15,000;15,000;0,000;0,000;45,000;180,000;0,000;0,000;0,000;0,000;60,000;0,000;15,000;0,000;15,000;0,000;0,000;0,000;0,000;0,000;195,00;0,00;194,40;194,40;9,97;S;195,00;195,00;75;81;78;70;86;-;;;S;;GUARDADO;PENDIENTE;0,60;0;4;0;4;0;0;;;;;;;
